Gini Index,Vacant Housing,Percent Unemployed,Median Family Income,Income Quartile,HighIncome
0.4092,775,5.91680432497372,56434,2,0
0.4345,436,9.075342465753424,49787,1,0
0.4133,741,4.612606697307945,87937,4,1
0.4662,8081,8.22411076936267,67456,4,1
0.4407,624,2.1908127208480566,49363,1,0
0.4443,221,2.326839826839827,58750,3,1
0.3961,592,5.36978756884343,62299,3,1
0.4159,533,3.5161744022503516,62356,3,1
0.3965,979,2.357490333042285,69139,4,1
0.4203,1048,7.85879927853646,63880,3,1
0.4047,135,1.1844331641285957,53125,2,0
0.4152,409,4.771784232365145,70118,4,1
0.4586,2926,5.819945438011518,56477,2,0
0.4539,1377,3.3940049258124585,68674,4,1
0.443,1258,4.072702793672164,53667,2,0
0.4172,1680,5.344879068378621,51280,2,0
0.49,1217,6.5550906555090656,57129,2,0
0.4549,20651,5.978769963891059,64683,3,1
0.4216,731,8.459060857772503,50933,2,0
0.42,656,3.5856573705179287,57679,3,1
0.4342,253,1.6380655226209049,55881,2,0
0.45,11041,4.100366238396446,97922,4,1
0.4763,4033,5.267802390104548,76202,4,1
0.4049,106,1.3986013986013985,63875,3,1
0.4135,704,4.258339247693399,77464,4,1
0.4885,203,6.625,79000,4,1
0.436,371,3.7023186237845924,60625,3,1
0.478,548,3.556034482758621,54932,2,0
0.3996,555,5.1605160516051605,64861,3,1
0.4239,815,5.546915500259201,72000,4,1
0.4154,432,1.7937219730941705,70192,4,1
0.4276,8230,9.332565014781782,48048,1,0
0.4067,1955,6.5474953232176265,51906,2,0
0.4521,694,3.1044214487300095,63286,3,1
0.4192,566,6.583072100313479,63824,3,1
0.426,1742,5.958458017954586,65869,3,1
0.3658,354,1.3994169096209912,66184,3,1
0.439,776,5.681562991241859,54417,2,0
0.4365,588,2.815533980582524,62196,3,1
0.4406,398,3.3073929961089497,61087,3,1
0.4512,890,6.722174605118159,56687,2,0
0.4374,1491,2.548148148148148,52294,2,0
0.4127,202,1.8320610687022902,55515,2,0
0.4085,1984,5.024914618442416,79432,4,1
0.4404,8484,5.960235378031384,66154,3,1
0.3945,126,2.5830258302583027,60833,3,1
0.4511,672,6.222775357809583,51217,2,0
0.3752,518,1.7094017094017095,60444,3,1
0.4304,3265,5.172914850334205,57005,2,0
0.4215,732,5.851836480597634,52149,2,0
0.4226,370,1.5873015873015872,58203,3,1
0.3977,343,3.9019509754877437,61920,3,1
0.416,365,5.236593059936909,60500,3,1
0.3417,132,4.831625183016105,71625,4,1
0.4512,1278,3.441445902451102,53426,2,0
0.3966,316,4.2383683875079665,66067,3,1
0.3924,718,2.999651203348448,59055,3,1
0.4648,10391,9.594498717458931,70878,4,1
0.486,12788,5.588191818576285,114857,4,1
0.4795,9275,11.593810619389181,61816,3,1
0.4355,3955,11.555953693495038,68684,4,1
0.4526,218,2.6623073330219524,61703,3,1
0.5008,18266,5.38681105722141,71913,4,1
0.4226,235,4.131054131054131,50132,2,0
0.4309,688,3.710144927536232,46447,1,0
0.421,949,3.92638036809816,78929,4,1
0.4838,527,5.034500383337592,53542,2,0
0.4056,5003,7.111474404822723,66791,4,1
0.436,8518,5.159331363785572,89509,4,1
0.418,1013,6.417322834645669,73992,4,1
0.4127,895,4.33890354734682,74148,4,1
0.4234,4319,6.016456344390743,73162,4,1
0.4469,1391,10.338345864661653,49375,1,0
0.5279,1181,11.647509578544062,32863,1,0
0.4016,4161,3.583526892540998,118953,4,1
0.432,13942,3.0214887807194586,88423,4,1
0.4293,4977,5.065896491053349,77674,4,1
